time,zmp_x,zmp_y,zmp_z,cmp_x,cmp_y,cmp_z,cp_x,cp_y,cp_z
0.05,0.13020764445468866,0.009788598548344948,0.0,1.558806626896108,0.05229857165299935,0.0,-0.003149195581572839,0.0008599609601784193,0.0
0.07,0.02183833318098768,0.008035566959367382,0.0,0.17423273885767,0.02787141623709278,0.0,-0.003150740134353427,0.0008599896535768657,0.0
0.091,-0.010654433619610026,0.0071504054043357345,0.0,-0.046474158983603436,0.024758376255668457,0.0,-0.0031524167750045223,0.0008600202245626207,0.0
0.111,-0.011918530720249213,0.0066564977831881185,0.0,-0.06587561971037399,0.024554753234501975,0.0,-0.003153990032725507,0.0008600479328068145,0.0
0.131,-0.07212250311906943,0.05253793213352807,0.0,-0.514732301587271,0.06478668337610465,0.0,-0.003155537696651317,0.0008600741250120432,0.0
0.152,0.026806785100742674,0.0200627002147301,0.0,-0.4440718943723498,0.028167331008817086,0.0,-0.003157126190584173,0.0008601000013158783,0.0
0.17200000000000001,0.03493674312464019,0.04117844583745621,0.0,-0.4345331577112932,0.05729699146492082,0.0,-0.0031585929264213394,0.0008601231920645367,0.0
0.193,0.04828374581904505,0.004924986137785781,0.0,-0.4225356042992375,0.02014614226469232,0.0,-0.0031600723703961524,0.000860146148035166,0.0
0.214,0.07031390345243572,-0.008292437841537046,0.0,-0.40363839292132603,0.006192522290041391,0.0,-0.003161479223516945,0.0008601678016598421,0.0
0.234,0.07104342472720046,0.0009195808957950762,0.0,-0.40296736059449945,0.014540365985517029,0.0,-0.003162744938762528,0.0008601873092395164,0.0
0.255,0.06719069276189185,0.013964594157290329,0.0,-0.4064552608712802,0.02685961957866681,0.0,-0.0031639929164663586,0.000860206700956488,0.0
0.275,0.05621813211929625,0.011014564027515331,0.0,-0.41566927839902046,0.02519175961858375,0.0,-0.0031651047626622937,0.0008602241907645368,0.0
0.296,0.03939680537419467,-0.007969893536341846,0.0,-0.42986614665316747,0.0240193519177349,0.0,-0.0031661952396047927,0.0008602415839745638,0.0
0.316,0.026856453383590898,0.0037059447986481273,0.0,-0.4400517650251019,0.0173954395105542,0.0,-0.0031671659442754512,0.0008602572723745989,0.0
